Count,Giants,Braves,Marlins,Mets,Phillies,Nationals,Dodgers,Rockies,D'backs,Padres,Reds,Brewers,Pirates,Cardinals,Cubs,Orioles,Red Sox,Yankees,Rays,Blue Jays,White Sox,Indians,Tigers,Royals,Twins,A's,Astros,Angels,Mariners,Rangers
121,-24,-7,-16,5,-20,20,14,6,-6,-23,3,-4,-15,11,27,12,15,16,-9,-2,-10,14,9,-10,-17,-13,12,-2,8,6
122,-23,-6,-17,4,-20,20,15,5,-5,-22,2,-3,-16,10,28,11,14,15,-8,-1,-11,13,8,-9,-16,-14,13,-1,7,7
123,-22,-5,-18,3,-21,21,16,4,-6,-23,1,-2,-15,11,27,10,15,15,-9,0,-10,12,9,-8,-15,-15,13,-2,6,8
124,-21,-6,-17,2,-21,21,15,5,-7,-24,0,-1,-14,12,26,9,14,15,-8,1,-9,13,8,-7,-16,-16,13,-1,5,9
125,-20,-5,-18,1,-21,21,14,5,-6,-23,0,-2,-14,12,26,9,14,15,-9,0,-10,14,8,-7,-16,-17,14,0,6,9
126,-19,-4,-19,0,-22,22,13,6,-5,-24,-1,-1,-15,11,27,10,15,16,-8,-1,-11,13,7,-8,-17,-16,15,1,5,10
127,-20,-3,-20,-1,-23,21,14,6,-4,-25,-2,0,-14,10,28,9,16,17,-7,-2,-12,12,8,-9,-17,-17,16,2,6,11
128,-20,-4,-21,-1,-24,20,15,6,-4,-26,-3,1,-13,10,29,8,15,16,-7,-1,-13,12,9,-8,-17,-16,16,2,7,12
129,-19,-3,-22,0,-23,19,16,7,-3,-27,-4,2,-14,9,28,9,14,15,-6,-2,-12,13,8,-9,-16,-15,15,1,6,13
130,-18,-2,-21,1,-24,18,15,6,-2,-28,-3,2,-13,8,28,10,13,14,-5,-3,-11,14,9,-9,-16,-14,14,0,5,12
131,-19,-3,-22,0,-25,19,16,7,-3,-27,-4,1,-12,9,29,9,14,15,-6,-2,-10,15,8,-9,-16,-15,13,1,4,13
132,-18,-2,-22,0,-26,19,16,8,-2,-27,-3,1,-13,9,28,8,14,16,-7,-2,-11,14,7,-10,-15,-15,14,2,4,13
133,-19,-1,-21,1,-27,20,17,9,-1,-28,-4,0,-14,8,29,7,15,15,-8,-1,-12,15,6,-9,-14,-16,15,3,3,12
134,-20,-2,-22,0,-28,21,16,10,0,-27,-3,-1,-13,9,30,6,16,16,-7,0,-13,14,7,-10,-13,-15,14,2,2,11
135,-21,-3,-22,-1,-27,20,17,9,1,-26,-3,-2,-12,8,31,6,17,16,-6,0,-13,14,6,-10,-13,-15,15,1,3,10
136,-22,-2,-21,0,-28,21,18,10,2,-27,-2,-3,-13,7,30,5,18,15,-5,1,-12,13,5,-9,-14,-14,16,0,2,9
137,-21,-3,-22,-1,-27,22,19,9,1,-28,-3,-2,-12,8,29,4,19,16,-6,2,-12,12,5,-8,-13,-15,17,1,1,8
138,-20,-4,-21,0,-28,21,20,10,0,-27,-2,-1,-13,7,28,3,18,17,-5,1,-11,13,4,-9,-14,-16,18,0,2,9
139,-21,-3,-20,1,-29,22,21,11,-1,-26,-3,-2,-12,6,27,4,17,16,-4,2,-10,14,5,-10,-15,-17,19,-1,3,8
140,-22,-4,-19,2,-30,23,22,8,0,-25,-4,-3,-13,5,26,3,18,17,-5,3,-11,15,4,-9,-16,-18,20,0,4,9
141,-23,-5,-18,1,-31,24,21,7,1,-24,-5,-2,-14,6,25,4,19,16,-4,4,-12,14,5,-10,-17,-17,21,1,5,8
142,-23,-5,-19,0,-31,24,20,8,2,-24,-5,-1,-14,7,25,5,18,17,-4,3,-12,15,5,-10,-16,-18,21,0,4,8
143,-22,-6,-18,-1,-32,25,21,7,1,-23,-4,-2,-13,6,26,6,17,16,-5,4,-13,14,6,-9,-15,-19,22,-1,5,7
144,-23,-5,-17,0,-31,24,22,8,0,-24,-5,-3,-14,5,27,5,18,17,-6,3,-14,13,7,-8,-16,-18,23,0,6,6
145,-24,-4,-16,-1,-30,25,21,9,-1,-25,-6,-2,-13,4,28,4,19,16,-7,4,-15,14,8,-9,-15,-19,24,-1,7,5
146,-23,-5,-17,-1,-29,26,20,9,-1,-25,-5,-3,-13,3,29,4,19,16,-7,3,-15,14,8,-10,-15,-18,25,-1,7,5
147,-24,-6,-18,-2,-28,27,19,10,0,-26,-4,-2,-14,2,30,5,20,15,-8,2,-14,13,7,-9,-16,-17,24,0,8,6
148,-25,-5,-17,-1,-29,26,20,11,1,-27,-3,-1,-15,1,29,6,19,16,-7,3,-15,12,8,-8,-17,-18,23,-1,9,5
149,-24,-4,-16,-1,-30,27,20,12,2,-28,-2,-2,-16,0,28,5,18,17,-6,3,-16,12,7,-9,-16,-18,24,0,8,5
150,-25,-3,-15,-2,-31,26,21,13,1,-27,-3,-1,-17,1,27,4,19,18,-5,2,-17,13,6,-10,-15,-19,23,1,9,6
151,-26,-5,-16,0,-32,25,22,14,2,-28,-4,-2,-16,2,26,3,20,19,-5,3,-16,12,5,-9,-14,-19,24,0,8,7
152,-25,-6,-17,1,-33,24,23,13,3,-29,-5,-3,-15,3,27,2,19,20,-4,4,-17,13,6,-8,-15,-20,23,1,7,8
153,-25,-5,-17,2,-34,23,23,12,3,-28,-6,-3,-14,3,26,1,20,21,-4,4,-16,13,6,-8,-16,-20,22,0,8,9
154,-26,-6,-16,1,-35,24,24,11,4,-27,-7,-3,-13,3,27,0,21,20,-3,3,-15,12,5,-7,-15,-21,21,1,7,10
155,-27,-5,-15,2,-36,23,25,12,5,-26,-8,-2,-14,2,26,1,22,19,-4,4,-16,11,4,-6,-16,-22,22,2,8,9
156,-28,-5,-15,1,-35,24,24,13,5,-26,-8,-1,-14,1,26,0,21,18,-5,4,-15,12,5,-5,-15,-21,22,1,7,9
157,-29,-6,-14,0,-36,25,25,14,6,-27,-9,0,-15,2,27,-1,22,17,-6,3,-14,13,6,-4,-16,-20,21,0,6,10
158,-30,-5,-15,-1,-37,26,26,15,7,-26,-10,-1,-14,1,26,0,21,16,-5,2,-13,15,5,-5,-18,-19,22,1,5,11
159,-31,-4,-16,0,-38,25,27,16,8,-27,-11,0,-15,0,27,1,22,15,-4,3,-14,16,4,-4,-19,-18,21,0,6,10
160,-32,-3,-15,-1,-38,24,28,16,8,-28,-10,-1,-14,0,28,0,21,15,-5,4,-14,17,3,-3,-19,-19,22,0,7,9
161,-31,-4,-16,-2,-39,25,29,17,7,-29,-11,-2,-13,1,29,1,22,14,-4,3,-15,16,2,-4,-18,-20,23,1,8,10
162,-32,-3,-15,-3,-40,24,30,16,8,-28,-12,-1,-14,2,28,0,21,15,-3,4,-16,17,1,-3,-17,-21,24,0,9,9
163,-33,-2,-16,-4,-39,24,31,15,9,-28,-12,0,-15,1,29,-1,21,14,-3,3,-15,18,0,-3,-18,-22,25,1,10,10
164,-34,-1,-15,-3,-38,25,32,14,8,-27,-13,-1,-14,0,28,-2,22,15,-2,2,-16,17,-1,-2,-17,-21,24,0,11,9
165,-35,0,-16,-2,-39,26,33,13,9,-26,-14,-2,-13,-1,29,-1,21,14,-3,1,-17,16,-2,-1,-16,-20,25,1,10,10
